# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.9.0
#@/tick	19590
#@/user_id	c9f9f78f-86f8-43c0-aa8d-5b4cd8469c68
a 	啊	c=33 d=6.36438 t=19590
a mu si te dan 	阿姆斯特丹	c=1 d=0.941765 t=19590
ai 	哎	c=3 d=2.22159 t=19590
ai te 	艾特	c=1 d=0.25284 t=19590
an 	按	c=3 d=0.826305 t=19590
an dao li 	按道理	c=1 d=0.131994 t=19590
an hui sheng 	安徽省	c=1 d=0.778801 t=19590
an jian 	按键	c=1 d=0.88692 t=19590
an li 	案例	c=1 d=0.985112 t=19590
an niu 	按钮	c=3 d=1.99005 t=19590
an pai 	安排	c=1 d=0.895834 t=19590
an quan xing 	安全性	c=1 d=0.603506 t=19590
an zhao 	按照	c=1 d=0.869358 t=19590
an zhuang 	安装	c=31 d=9.78574 t=19590
an zhuo 	安卓	c=1 d=0.697676 t=19590
ba 	吧	c=112 d=8.66959 t=19590
ba 	把	c=52 d=4.97432 t=19590
ba chang 	靶场	c=19 d=8.13385 t=19590
ba cuo 	吧错	c=1 d=0.647265 t=19590
ba ge 	八个	c=1 d=0.697676 t=19590
ba ji 	靶机	c=1 d=0.594521 t=19590
ba wo 	把我	c=1 d=0.726149 t=19590
bai fen bi 	百分比	c=3 d=2.01486 t=19590
bai ming dan 	白名单	c=2 d=1.79684 t=19590
ban 	板	c=1 d=0.847894 t=19590
ban 	版	c=1 d=0.463013 t=19590
ban ben 	版本	c=25 d=5.66596 t=19590
ban fa 	办法	c=4 d=2.33389 t=19590
bang ding 	绑定	c=11 d=2.67988 t=19590
bang mang 	帮忙	c=1 d=0.891366 t=19590
bang ni 	帮你	c=1 d=0.806541 t=19590
bang wo 	帮我	c=12 d=3.30036 t=19590
bao 	包	c=13 d=4.13048 t=19590
bao 	爆	c=2 d=1.72616 t=19590
bao chi 	保持	c=3 d=1.84213 t=19590
bao cun 	保存	c=10 d=2.80805 t=19590
bao cuo 	报错	c=16 d=3.67786 t=19590
bao gao 	报告	c=8 d=3.2744 t=19590
bao guo 	包裹	c=1 d=1 t=19590
bao han 	包含	c=12 d=4.32562 t=19590
bao li 	暴力	c=5 d=2.68249 t=19590
bao liu 	保留	c=1 d=0.786628 t=19590
bao lu 	暴露	c=1 d=0.65377 t=19590
bao zheng 	保证	c=1 d=0.263158 t=19590
bei 	北	c=1 d=0.927743 t=19590
bei 	被	c=9 d=3.7071 t=19590
bei 	钡	c=1 d=0.535261 t=19590
bei fen 	备份	c=6 d=3.25237 t=19590
bei jing 	北京	c=11 d=4.02092 t=19590
bei jing 	背景	c=2 d=0.748264 t=19590
bei jing shi 	北京市	c=2 d=1.07253 t=19590
bei zhu 	备注	c=1 d=0.909373 t=19590
bei zhua 	被抓	c=1 d=0.748264 t=19590
ben ben 	本本	c=0 d=0.0440432 t=19590
ben di 	本地	c=26 d=7.40406 t=19590
ben di fu wu 	本地服务	c=1 d=0.357007 t=19590
